@relation targetAtiva-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute CCLA_MED numeric
@attribute Cda_MED numeric
@attribute CE_MED numeric
@attribute CHINa_MED numeric
@attribute CLCA_MED numeric
@attribute COMBa_MED numeric
@attribute COMBAa_MED numeric
@attribute CT_CP_MED numeric
@attribute Daa_MED numeric
@attribute Dca_MED numeric
@attribute Dma_MED numeric
@attribute ENDIV_MED numeric
@attribute FUTLa_MED numeric
@attribute GAFa_MED numeric
@attribute GAOa_MED numeric
@attribute GATa_MED numeric
@attribute GIROAa_MED numeric
@attribute GLCAa_MED numeric
@attribute ILNCG_MED numeric
@attribute IMOB_RECa_MED numeric
@attribute INTWOa_MED numeric
@attribute LAA_MED numeric
@attribute LC_MED numeric
@attribute LG_MED numeric
@attribute NCGA_MED numeric
@attribute NCGRa_MED numeric
@attribute NITAa_MED numeric
@attribute OENEG_MED numeric
@attribute PLCT_MED numeric
@attribute PMCRa_MED numeric
@attribute PMPEa_MED numeric
@attribute Raa_MED numeric
@attribute RPLa_MED numeric
@attribute SIZE_MED numeric
@attribute TA_MED numeric
@attribute TLTA_MED numeric
@attribute Tra_MED numeric
@attribute VAR_LL_T_1ANOa_MED numeric
@attribute VAR_REC_T_1ANOa_MED numeric
@attribute WCTA_MED numeric
@attribute DIF_EM_MED numeric
@attribute Target {0,1}

@data
-0.217651,?,1,-4.076226,3.243158,-1.501192,-1.501192,0.459172,-1.275621,-0.129027,-0.096545,0.31468,0.733646,-0.944343,?,-2.170944,-0.460629,0.230864,0.13638,-1.399508,0,0.582943,0.308341,0.308341,-0.252022,?,0.230864,0,2.177831,-48.969738,23.061005,-0.356724,0.33687,2.757462,0.034371,0.31468,?,?,?,-0.217651,1,0
0.218515,20.423937,0.84564,1,0.744584,0.977445,0.969183,2.737211,0.128155,0.02705,0.849961,0.732421,0.084258,0.104732,6.482266,0.203373,4.917085,0.059233,6.512397,0.023327,0,0.134977,1.343032,1.155914,0.011623,0.003351,0.024563,0,0.365335,50.675208,35.921224,0.527431,0.086338,5.099774,0.189428,0.732421,0.038174,0.913656,0.140045,0.218515,1,0
0.494003,?,1,1,0.284147,0.660843,0.670708,0.291832,0.065322,0.059427,0,0.225906,0.664382,1.008735,-0.991463,0.280798,3.561277,0.150088,2.273904,0.069579,0,0.150088,3.403123,3.5193,0.100883,0.024607,0.150088,0,3.327978,39.342608,0,0.511817,0.193888,2.318443,0.235575,0.225906,0.096135,-2.179556,0.482914,0.494003,1,0
0.027603,0.205297,1,1,0.772231,2.663469,2.786761,0.103545,1.06881,0.002825,0.691437,0.09383,0.230324,0.306734,-42.667317,19.656324,0.050874,0.015845,0.071997,17.454961,0,0.007706,1.294949,1.109999,0.024902,0.526404,0.007706,0,9.6576,445.173332,87.157216,0.067653,0.008275,5.508134,0.001793,0.09383,0.051709,-1.26414,0.112624,0.027603,1,0
-0.108596,0.215656,0.923937,1,1.223706,1.009197,1.004666,2.023037,0.350488,0.016609,0.644892,0.669207,0.052166,0.006246,-1.729839,0.300474,3.32808,0.03582,0.527227,0.157225,0,0.273381,0.81719,0.666811,-0.211098,-0.066658,0.019705,0,0.494306,30.519637,56.04975,1.155493,0.062886,3.920091,0.169697,0.669207,0.048186,-0.459002,0.235486,-0.108596,1,0
0.209413,?,0.425559,-1,0.492522,0,0,0.914193,0,0,0,0.477587,-0.079166,2.009236,1,1.947571,0.51346,-0.037809,0.018749,1.143871,0,0.020647,2.030364,2.030433,0.205559,0.40034,-0.040055,0,1.093861,0,?,-0.03816,-0.076673,4.105262,0.003854,0.477587,0.007506,-1,-1,0.209413,1,0
0.399091,0.908988,1,-1,0.567251,1.587201,1.563804,0.646988,0.047187,0,1.535012,0.523133,-1.527641,1.928085,-1.976914,0.305787,3.270252,-2.128408,0.922201,0.023928,1,-9.316009,1.762887,1.762887,-0.1724,-0.052946,-2.129265,0,0.911561,29.663142,13.304923,-2.05982,-2.33195,3.420967,0.455718,0.523133,0.140204,-0.365879,0.028798,0.399091,1,0
0.516272,0.294877,1,1,0.347738,0.91316,0.870954,0.320627,0.181954,0,0.742548,0.242784,0.596267,0.573112,-0.392086,0.810421,1.233926,0.154943,2.993443,0.126064,0,0.105698,2.875729,3.431582,-0.140048,-0.116551,0.145064,0,3.118886,7.580856,12.948549,0.278049,0.170241,4.756243,0.705031,0.242784,0.489365,1.419688,0.183918,0.516272,1,0
0.116953,0.244507,1,1,0.830982,0.402686,0.391594,1.364602,0.315602,0,0.066918,0.577096,7.741127,1.466736,0.856787,0.119839,8.346751,4.826341,0.978349,0.024201,0,0.347517,1.203396,1.175689,-0.04567,-0.006918,4.116279,0,0.732814,11.97774,0,7.417365,11.013907,2.413249,0.160297,0.577096,0.02904,0.10539,0.069255,0.116953,1,0
0.33724,0.000442,1,-1,0.521876,0.758258,0.758155,0.339611,0.424794,0,0.338943,0.246616,-0.211612,0.064702,0.13211,0.62327,1.626684,0.051344,1.172888,0.152829,0,0.0241,1.714653,1.714653,-0.071702,-0.038939,0.035667,0,2.137647,8.340222,0,0.674249,0.061197,3.022899,0.330752,0.246616,0.237068,-0.261683,0.729725,0.33724,1,0
